>	11	28
z	ol1	ol2	m1	m2	m3	m4	m5	m6	m7	m8
c0.1	c0.2	c0.3	c0.4	c0.5	c0.6	c0.7	c0.8	c1.1	c1.2	c1.3	c1.4	c1.5	c1.6	c1.7	c1.8	mksp	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	sol
-2603.875 	-3126.5 	-3126.5 	-3126.5 	-1817.5	-1831.625 	-3126.5 	-3126.5 	-1488.75	-1294.875 	-1488.75 	-1488.75 	-1488.75	-193.875 	-1488.75 	-1488.75 	-1	0	0	0	0	0	0	0	0	9999999	9999999	0
1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
25012	0	0	0	0	0	0	0	11910	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0
0	25012	0	0	0	0	0	0	0	11910	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0
0	0	25012	0	0	0	0	0	0	0	11910	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0
0	0	0	25012	0	0	0	0	0	0	0	11910	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	25012	0	0	0	0	0	0	0	11910	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	25012	0	0	0	0	0	0	0	11910	0	0	-1	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	25012	0	0	0	0	0	0	0	11910	0	-1	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	25012	0	0	0	0	0	0	0	11910	-1	0	0	0	0	0	0	0	1	0	0	0
